simulation_id,sample_key,cell_id,time_trace,dis_to_target,simulation_file
20250717_102015_1.0,1,23,[1.00001    0.99700254 0.99138382 ... 0.99603712 1.00402155 0.99403235],1,sim_data__stimMag_0.50_beta_0.40_noise_0.010_kcross_0.0050_nSamples_25_100.h5
20250717_102015_1.0,1,24,[1.00001    0.98784938 0.97435798 ... 0.98557325 0.9652358  0.96545135],0,sim_data__stimMag_0.50_beta_0.40_noise_0.010_kcross_0.0050_nSamples_25_100.h5
20250717_102015_1.0,1,25,[1.00001    0.98484379 1.00850485 ... 1.01249962 1.0065684  1.0077859 ],1,sim_data__stimMag_0.50_beta_0.40_noise_0.010_kcross_0.0050_nSamples_25_100.h5
20250717_102015_1.0,1,26,[1.00001    1.00465095 0.9983057  ... 0.94809613 0.94995462 0.95031399],2,sim_data__stimMag_0.50_beta_0.40_noise_0.010_kcross_0.0050_nSamples_25_100.h5
20250717_102015_1.0,1,27,[1.00001    1.01143515 1.01126838 ... 0.89405986 0.90607523 0.91367817],3,sim_data__stimMag_0.50_beta_0.40_noise_0.010_kcross_0.0050_nSamples_25_100.h5
20250717_102015_1.0,1,28,[1.00001    0.97475318 0.98195106 ... 0.98008852 0.98730456 0.9728121 ],3,sim_data__stimMag_0.50_beta_0.40_noise_0.010_kcross_0.0050_nSamples_25_100.h5
20250717_102015_1.0,1,29,[1.00001    1.01621111 1.02338668 ... 1.00068895 1.01219984 1.01319038],2,sim_data__stimMag_0.50_beta_0.40_noise_0.010_kcross_0.0050_nSamples_25_100.h5
20250717_102015_1.0,1,30,[1.00001    0.98541035 0.9806094  ... 1.00807218 1.00674408 0.99425288],2,sim_data__stimMag_0.50_beta_0.40_noise_0.010_kcross_0.0050_nSamples_25_100.h5
20250717_102015_1.0,1,31,[1.00001    1.00541018 1.01377681 ... 0.94952199 0.94482858 0.94466678],1,sim_data__stimMag_0.50_beta_0.40_noise_0.010_kcross_0.0050_nSamples_25_100.h5
20250717_102015_1.0,1,32,[1.00001    1.01388926 1.00900001 ... 0.98246099 0.97267396 0.98011272],2,sim_data__stimMag_0.50_beta_0.40_noise_0.010_kcross_0.0050_nSamples_25_100.h5
20250717_102015_1.0,1,33,[1.00001    1.00088421 0.99203643 ... 1.00227754 0.99930111 1.00079042],2,sim_data__stimMag_0.50_beta_0.40_noise_0.010_kcross_0.0050_nSamples_25_100.h5
20250717_102015_1.0,1,34,[1.00001    1.01951124 1.0221381  ... 1.02959687 1.0252827  1.02626295],3,sim_data__stimMag_0.50_beta_0.40_noise_0.010_kcross_0.0050_nSamples_25_100.h5
